window.start	window.end	window.center	Gene	Population	nsnps.maf	maf,upper
191292115	191392115	191342115	B3GALT2	Adygei	3	0.333333333
191322115	191422115	191372115	B3GALT2	Adygei	5	0.4
191352115	191452115	191402115	B3GALT2	Adygei	7	0.285714286
191382115	191482115	191432115	B3GALT2	Adygei	9	0.333333333
191412115	191512115	191462115	B3GALT2	Adygei	6	0.166666667
191442115	191542115	191492115	B3GALT2	Adygei	6	0.166666667
191472115	191572115	191522115	B3GALT2	Adygei	9	0.222222222
191502115	191602115	191552115	B3GALT2	Adygei	10	0.1
191532115	191632115	191582115	B3GALT2	Adygei	9	0.111111111
191562115	191662115	191612115	B3GALT2	Adygei	9	0
191592115	191692115	191642115	B3GALT2	Adygei	7	0
191622115	191722115	191672115	B3GALT2	Adygei	18	0.055555556
191652115	191752115	191702115	B3GALT2	Adygei	24	0.125
191682115	191782115	191732115	B3GALT2	Adygei	26	0.153846154
191712115	191812115	191762115	B3GALT2	Adygei	20	0.3
191742115	191842115	191792115	B3GALT2	Adygei	11	0.272727273
39458604	39558604	39508604	B3GALT5	Adygei	11	0.181818182
39488604	39588604	39538604	B3GALT5	Adygei	9	0.222222222
39518604	39618604	39568604	B3GALT5	Adygei	8	0.25
39548604	39648604	39598604	B3GALT5	Adygei	13	0.307692308
39578604	39678604	39628604	B3GALT5	Adygei	13	0.153846154
39608604	39708604	39658604	B3GALT5	Adygei	19	0.105263158
39638604	39738604	39688604	B3GALT5	Adygei	17	0
39668604	39768604	39718604	B3GALT5	Adygei	22	0.090909091
39698604	39798604	39748604	B3GALT5	Adygei	21	0.238095238
39728604	39828604	39778604	B3GALT5	Adygei	26	0.230769231
39758604	39858604	39808604	B3GALT5	Adygei	27	0.148148148
39788604	39888604	39838604	B3GALT5	Adygei	33	0.090909091
39818604	39918604	39868604	B3GALT5	Adygei	39	0.076923077
39848604	39948604	39898604	B3GALT5	Adygei	37	0.054054054
39878604	39978604	39928604	B3GALT5	Adygei	42	0.214285714
39908604	40008604	39958604	B3GALT5	Adygei	40	0.35
39938604	40038604	39988604	B3GALT5	Adygei	39	0.384615385
39968604	40068604	40018604	B3GALT5	Adygei	36	0.333333333
39998604	40098604	40048604	B3GALT5	Adygei	36	0.083333333
40028604	40128604	40078604	B3GALT5	Adygei	32	0.03125
40058604	40158604	40108604	B3GALT5	Adygei	34	0.117647059
40088604	40188604	40138604	B3GALT5	Adygei	34	0.117647059
40118604	40218604	40168604	B3GALT5	Adygei	50	0.14
40148604	40248604	40198604	B3GALT5	Adygei	51	0.137254902
40178604	40278604	40228604	B3GALT5	Adygei	56	0.160714286
40208604	40308604	40258604	B3GALT5	Adygei	47	0.234042553
40238604	40338604	40288604	B3GALT5	Adygei	44	0.272727273
40268604	40368604	40318604	B3GALT5	Adygei	36	0.277777778
65471040	65571040	65521040	B3GNT1	Adygei	16	0.3125
65501040	65601040	65551040	B3GNT1	Adygei	17	0.176470588
65531040	65631040	65581040	B3GNT1	Adygei	12	0.25
65561040	65661040	65611040	B3GNT1	Adygei	10	0.3
65591040	65691040	65641040	B3GNT1	Adygei	9	0.222222222
65621040	65721040	65671040	B3GNT1	Adygei	9	0.222222222
65651040	65751040	65701040	B3GNT1	Adygei	8	0.125
65681040	65781040	65731040	B3GNT1	Adygei	8	0.125
65711040	65811040	65761040	B3GNT1	Adygei	7	0.142857143
65741040	65841040	65791040	B3GNT1	Adygei	12	0.166666667
65771040	65871040	65821040	B3GNT1	Adygei	9	0.111111111
65801040	65901040	65851040	B3GNT1	Adygei	9	0.111111111
